name,score,subtitle,reviewUploadedAt,address,city,state,lat,lng,reviewUrl,directionsUrl,sourceType,confidence,notes,slug,thumbnailFilename,thumbnailPath,videoFilename,videoPath,status
Deane's Deli,7.8,Roast Beef Sandwich,2024-05-20,500 S 3rd St #141,Geneva,IL,41.8822688,-88.30940749999999,https://www.instagram.com/reel/C7MICWerlXj/,https://www.google.com/maps/dir/?api=1&destination=500%20S%203rd%20St%20%23141%2C%20Geneva%2C%20IL%2060134%2C%20USA,structured-data,high,,deanes-deli,deanes-deli.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/deanes-deli.jpg,deanes-deli.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/deanes-deli.mp4,success
Volo Quality Meats,8.8,The Dirty Talk Sandwich,2024-05-22,27090 Volo Village Rd,Round Lake,IL,42.3247927,-88.16135369999999,https://www.instagram.com/reel/C7RR2COuq9l/,https://www.google.com/maps/dir/?api=1&destination=27090%20Volo%20Village%20Rd%2C%20Round%20Lake%2C%20IL%2060073%2C%20USA,structured-data,high,,volo-quality-meats,volo-quality-meats.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/volo-quality-meats.jpg,volo-quality-meats.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/volo-quality-meats.mp4,success
Jook Sing,9.1,Jook Sing Burger,2024-05-24,1329 W Chicago Ave,Chicago,IL,41.8959464,-87.6605615,https://www.instagram.com/reel/C7WbdF1OESe/,https://www.google.com/maps/dir/?api=1&destination=1329%20W%20Chicago%20Ave%2C%20Chicago%2C%20IL%2060642%2C%20USA,structured-data,high,,jook-sing,jook-sing.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/jook-sing.jpg,jook-sing.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/jook-sing.mp4,success
Kaufman's Deli,8.5,New Jersey Bypass Sandwich,2024-05-27,4905 Dempster St,Skokie,IL,42.0404778,-87.7497126,https://www.instagram.com/reel/C7eJw6nuOc0/,https://www.google.com/maps/dir/?api=1&destination=4905%20Dempster%20St%2C%20Skokie%2C%20IL%2060077%2C%20USA,structured-data,high,,kaufmans-deli,kaufmans-deli.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/kaufmans-deli.jpg,kaufmans-deli.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/kaufmans-deli.mp4,success
Sabor De MI Tierra,8.8,Quesabirria Tacos,2024-05-29,340 W Lake St,Addison,IL,41.93640449999999,-87.9977698,https://www.instagram.com/reel/C7jTWsHOlGR/,https://www.google.com/maps/dir/?api=1&destination=340%20W%20Lake%20St%2C%20Addison%2C%20IL%2060101%2C%20USA,structured-data,high,,sabor-de-mi-tierra,sabor-de-mi-tierra.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/sabor-de-mi-tierra.jpg,sabor-de-mi-tierra.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/sabor-de-mi-tierra.mp4,success
Tony and Tina's Deli,8.4,Tony's Italian Sub,2024-05-31,8133 S Cass Ave,Darien,IL,41.7401882,-87.9719348,https://www.instagram.com/reel/C7odB5xO98s/,https://www.google.com/maps/dir/?api=1&destination=8133%20S%20Cass%20Ave%2C%20Darien%2C%20IL%2060561%2C%20USA,structured-data,high,,tony-and-tinas-deli,tony-and-tinas-deli.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/tony-and-tinas-deli.jpg,tony-and-tinas-deli.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/tony-and-tinas-deli.mp4,success
La Poblanita,8,Cemita Especial,2024-06-03,16 N Bartlett Rd,Streamwood,IL,42.0328737,-88.1803334,https://www.instagram.com/reel/C7wLVecOBbk/,https://www.google.com/maps/dir/?api=1&destination=16%20N%20Bartlett%20Rd%2C%20Streamwood%2C%20IL%2060107%2C%20USA,structured-data,high,,la-poblanita,la-poblanita.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/la-poblanita.jpg,la-poblanita.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/la-poblanita.mp4,success
Sarkis Cafe,7.8,The Disaster Sandwich,2024-06-05,2632 Gross Point Rd,Evanston,IL,42.0657048,-87.7273239,https://www.instagram.com/reel/C71Uzt1O5UL/,https://www.google.com/maps/dir/?api=1&destination=2632%20Gross%20Point%20Rd%2C%20Evanston%2C%20IL%2060201%2C%20USA,structured-data,high,,sarkis-cafe,sarkis-cafe.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/sarkis-cafe.jpg,sarkis-cafe.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/sarkis-cafe.mp4,success
Doner 97,8.3,Doner Sandwich,2024-06-07,2435 N Clark St,Chicago,IL,41.9266099,-87.6408828,https://www.instagram.com/reel/C76ehTqOCSq/,https://www.google.com/maps/dir/?api=1&destination=2435%20N%20Clark%20St%2C%20Chicago%2C%20IL%2060614%2C%20USA,structured-data,high,,doner-97,doner-97.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/doner-97.jpg,doner-97.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/doner-97.mp4,success
Time Out West Sports Pub,8.3,Hot Wings,2024-06-10,1130 E Lake St,Hanover Park,IL,41.9769792,-88.1350509,https://www.instagram.com/reel/C8CM7JAOM3n/,https://www.google.com/maps/dir/?api=1&destination=1130%20E%20Lake%20St%2C%20Hanover%20Park%2C%20IL%2060133%2C%20USA,structured-data,high,,time-out-west-sports-pub,time-out-west-sports-pub.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/time-out-west-sports-pub.jpg,time-out-west-sports-pub.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/time-out-west-sports-pub.mp4,success
